id,pm2,pm10,deviceid,time
1307,19,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:19
1227,20,24,ecfbc857-b220-4801-844a-90b353af69e3,17-10:05
1304,20,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:18
1316,20,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:26
1339,19,25,ecfbc857-b220-4801-844a-90b353af69e3,17-16:55
1334,20,25,ecfbc857-b220-4801-844a-90b353af69e3,17-16:45
1226,22,26,ecfbc857-b220-4801-844a-90b353af69e3,17-09:45
1233,22,27,ecfbc857-b220-4801-844a-90b353af69e3,17-12:05
1237,22,27,ecfbc857-b220-4801-844a-90b353af69e3,17-13:26
1225,24,28,ecfbc857-b220-4801-844a-90b353af69e3,17-09:24
1221,24,30,ecfbc857-b220-4801-844a-90b353af69e3,17-08:04
1231,24,30,ecfbc857-b220-4801-844a-90b353af69e3,17-11:25
1224,25,30,ecfbc857-b220-4801-844a-90b353af69e3,17-09:04
1234,24,31,ecfbc857-b220-4801-844a-90b353af69e3,17-12:26
1235,24,31,ecfbc857-b220-4801-844a-90b353af69e3,17-12:46
1222,26,31,ecfbc857-b220-4801-844a-90b353af69e3,17-08:24
1223,26,31,ecfbc857-b220-4801-844a-90b353af69e3,17-08:44
1228,26,31,ecfbc857-b220-4801-844a-90b353af69e3,17-10:25
1362,26,31,ecfbc857-b220-4801-844a-90b353af69e3,17-19:41
1363,26,31,ecfbc857-b220-4801-844a-90b353af69e3,17-19:41
1232,24,32,ecfbc857-b220-4801-844a-90b353af69e3,17-11:45
1218,26,32,ecfbc857-b220-4801-844a-90b353af69e3,17-07:03
1337,26,32,ecfbc857-b220-4801-844a-90b353af69e3,17-16:51
1365,26,32,ecfbc857-b220-4801-844a-90b353af69e3,17-19:43
1367,332,32,ecfbc857-b220-4801-844a-90b353af69e3,18-09:32
1219,27,33,ecfbc857-b220-4801-844a-90b353af69e3,17-07:24
1230,27,33,ecfbc857-b220-4801-844a-90b353af69e3,17-11:05
1364,27,33,ecfbc857-b220-4801-844a-90b353af69e3,17-19:42
1366,27,33,ecfbc857-b220-4801-844a-90b353af69e3,17-19:43
1220,28,33,ecfbc857-b220-4801-844a-90b353af69e3,17-07:44
1359,27,34,ecfbc857-b220-4801-844a-90b353af69e3,17-19:37
1360,27,34,ecfbc857-b220-4801-844a-90b353af69e3,17-19:38
1355,28,34,ecfbc857-b220-4801-844a-90b353af69e3,17-19:31
1356,28,34,ecfbc857-b220-4801-844a-90b353af69e3,17-19:33
1361,28,34,ecfbc857-b220-4801-844a-90b353af69e3,17-19:39
1236,28,36,ecfbc857-b220-4801-844a-90b353af69e3,17-13:06
1357,28,36,ecfbc857-b220-4801-844a-90b353af69e3,17-19:35
1349,30,37,ecfbc857-b220-4801-844a-90b353af69e3,17-19:24
1229,30,38,ecfbc857-b220-4801-844a-90b353af69e3,17-10:45
1352,30,38,ecfbc857-b220-4801-844a-90b353af69e3,17-19:27
1358,30,38,ecfbc857-b220-4801-844a-90b353af69e3,17-19:37
1351,30,39,ecfbc857-b220-4801-844a-90b353af69e3,17-19:25
1354,32,39,ecfbc857-b220-4801-844a-90b353af69e3,17-19:29
1353,30,40,ecfbc857-b220-4801-844a-90b353af69e3,17-19:29
1348,31,40,ecfbc857-b220-4801-844a-90b353af69e3,17-19:23
1350,31,40,ecfbc857-b220-4801-844a-90b353af69e3,17-19:25
